id,label
22059,Índice de preços ao consumidor
22060,Índice de preços ao consumidor em real
22060,Ipc-r
22060,Índice de preços ao consumidor série r
22070,Índice de preços ao consumidor amplo-especial
22070,Ipca-e
22070,Índice de preços ao consumidor amplo-especial (ipca-e)
16724,Instituto do patrimônio histórico e artístico nacional
16724,Iphan
16415,Imposto sobre produtos industrializados
16415,Ipi
16415,Imposto sobre produto industrializado (ipi)
16415,Imposto sobre produto industrializado
16402,Imposto provisório sobre movimentação financeira
16402,Ipmf
16405,Iptu
16405,Imposto sobre a propriedade predial e territorial urbana
16405,Imposto predial e territorial urbano
16404,Ipva
16404,Imposto sobre a propriedade de veículos automotores
16404,Imposto sobre propriedade de veículos automotores
16722,Instituto de resseguros do brasil
16722,Irb
22061,Índice de reajuste de valores fiscais
22061,Irvf
16416,Imposto sobre serviços
16416,Issqn
16416,Iss
16416,Imposto sobre serviços de qualquer natureza
16414,Imposto sobre os serviços de transporte rodoviário interestadual de passageiros e cargas
16414,Imposto sobre os serviços de transporte rodoviário intermunicipal e interestadual de pessoas e cargas
16414,Istr
16417,Itcd
16417,Itcmd
16417,Itd
16417,Imposto sobre transmissão causa mortis e doação de quaisquer bens ou direitos
16417,Imposto sobre transmissão causa mortis e doação
16417,Imposto de transmissão causa mortis e doação de quaisquer bens ou direitos (itcd)
16418,Imposto sobre vendas a varejo de combustíveis líquidos e gasosos
16418,Ivvc
17025,Jurisprudência firme
17025,Jurisprudência firmada
17028,Anatocismo
17028,Capitalização de juros
17028,Juros capitalizados
17028,Juros acumulados
17028,Juros sobre juros
17028,Juros frugíferos
17037,Juros extorsivos
17037,Juros onzenários
17105,Autolançamento
17105,Auto-lançamento
17123,Cultura
17123,Plantação
17156,Fundação legião brasileira de assistência
17156,Legião brasileira de assistência
17156,Lba
17252,Letra do banco central
17252,Lbc
17252,Letra do banco centra do brasil
17164,Legislação brasileira
17164,Legislação nacional
17178,Lei das execuções penais
17178,Lei da execução penal
17178,Lei de execuções penais
17249,Ler
17249,Lesão por esforço repetitivo
17253,Letra financeira do tesouro
17253,Lft
17181,Lei de introdução ao código civil
17181,Lei de introdução às normas do direito brasileiro
17181,Licc
17307,Licença especial
17307,Licença-prêmio por assiduidade
17215,Estatuto da magistratura
17215,Lei orgânica da magistratura nacional
17450,Lugar da infração
17450,Lugar do delito
17450,Locus delicti
17450,Locus comissi delicti
17471,Maior de 14 anos
17471,Maior de quatorze anos
17474,Maior de 60 anos
17474,Sexagenário
17476,Septuagenário
17476,Maior de 70 anos
17616,Medida acautelatória
17616,Medida acauteladora
17668,Menor de quatorze anos
17668,Menor de 14 anos
17743,Mare
17743,Ministério da administração federal e reforma do estado
17744,Maer
17744,Ministério da aeronáutica
17748,Mct
17748,Ministério da ciência e tecnologia
17752,Mec
17752,Ministério da educação
17754,Mf
17754,Ministério da fazenda
17755,Mict
17755,Ministério da indústria comércio e turismo
17757,Minfra
17757,Ministério da infra-estrutura
17760,Mj
17760,Ministério da justiça
17767,Mre
17767,Ministério de relações exteriores
17767,Ministério das relações exteriores
17768,Mme
17768,Ministério das minas e energia
17768,Ministério de minas e energia
17772,Me
17772,Ministério do exército
17779,Mtr
17779,Ministério dos transportes
17780,Mp
17780,Ministério público
17832,Falecimento
17832,Óbito
17481,Maior valor de referência
17481,Mrv
17926,Caráter alimentar
17926,Caráter alimentício
17926,Natureza alimentícia
17993,Nexo causal
17993,Relação de causalidade
17993,Relação causal
18287,Ordem dos advogados do brasil
18287,Oab
18307,Organização dos estados americanos
18307,Oea
18225,Oficial do registro de imóveis
18225,Oficial do registro imobiliário
18225,Oficial de registro imobiliário
18304,Nações unidas
18304,Organização das nações unidas
18304,Onu
22089,Órgão de gestão de mão-de-obra do trabalho portuário
22089,Ogmo
22089,Órgão gestor de mão de obra do trabalho portuário
22089,Órgão de gestão de mão de obra do trabalho portuário
18164,Obrigação reajustável do tesouro nacional
18164,Obrigações reajustáveis do tesouro nacional
18164,Ortn
18155,Obrigação do tesouro nacional
18155,Obrigações do tesouro nacional
18155,Otn
18352,Pagamento a prazo
18352,Pagamento a prestação
18479,Estado estrangeiro
18479,Exterior
18359,Genitores
18359,Pais biológicos
18405,Parentesco por adoção
18405,Parentesco adotivo
19458,Programa de assistência ao servidor público
19458,Programa de assistência de formação do patrimônio do servidor público
19458,Programa de formação do patrimônio
19458,Pasep
18733,Plano de demissão voluntária
18733,Pdv
18733,Programa de demissão voluntária
18513,Pena em concreto
18513,Pena in concreto
18513,Pena concretizada
18534,Punição disciplinar
18534,Sanção disciplinar
19460,Programa de integração social
19460,Programa de integração social e programa de formação do patrimônio do servidor público (pis/pasep)
19460,Pis
18725,Plano brasil novo
18725,Plano collor
18729,Pcs
18729,Plano de classificação de cargos (pcc)
18729,Plano de classificação de cargos e salários (pccs)
18729,Plano de cargos e salários
18729,Plano de classificação de cargos
18729,Plano de classificação de cargos e salários
18734,Pes
18734,Plano de equivalência salarial
18742,Pifi
18742,Plano integrado floresta-indústria
18747,Planta de valores genérica
18747,Planta de valores
18975,Detento
18975,Presidiário
18995,Prestação de serviço à comunidade
18995,Prestação social alternativa
19008,Presunção juris et de jure
19008,Presunção iure et de iure
19016,Presunção juris tantum
19016,Presunção iuris tantum
19022,Jus puniendi
19022,Ius puniendi
19120,Princípio de causalidade
19120,Princípio da causação
19177,Princípio da igualdade
19177,Paridade de tratamento
19208,Princípio do estado de inocência
19208,Princípio de presunção de inocência
19208,Princípio de presunção da inocência
19208,Princípio da não-culpabilidade
19220,Juízo da razoabilidade
19220,Juízo de razoabilidade
19368,Procuradoria da fazenda nacional
19368,Pfn
19369,Procuradoria-geral da fazenda nacional
19369,Pgfn
19413,Gênero perecível
19413,Mercadoria perecível
19457,Programa de financiamento às exportações
19457,Proex
19453,Programa de assistência ao trabalhador rural
19453,Prorural
19551,Protesto cambial
19551,Protesto de títulos
19574,Prova escolar
19574,Exame escolar
19586,Prova incontestável
19586,Prova incontroversa
19753,Quinzena
19753,15 dias
20411,Emissora de rádio de pequeno alcance
20411,Rádio de pequeno alcance
20340,Retribuição adicional variável
20340,Rav
20050,Regulamento de benefícios da previdência social
20050,Regulamento dos benefícios da previdência social
20050,Rbps
19834,Recibo de depósito bancário
19834,Rdb
19795,Reajustamento
19795,Reajuste salarial
19847,Reclassificação de cargo
19847,Reclassificação de cargo ou função
19847,Reclassificação do cargo ou função
19847,Reclassificação funcional
20017,Registro comercial
20017,Registro do comércio
20107,Recurso de ofício
20107,Recurso ex officio
20107,Reexame necessário
20107,Remessa de ofício
20107,Remessa oficial
20107,Reexame obrigatório
20107,Remessa necessária
